"Account Number","National Insurance Number ","First Name","Middle Name","Surname ","Date of Birth","ISA Type being reported","Flexible ISA","Total current year subscriptions transferred in","Total current year subscriptions transferred out ","Date of first subscription event","Date of last subscription event","Total current year to date subscriptions ","LISA qualifying addition","LISA bonus claim","Market value of account","Closure Date","ISA Reason for closure","LISA Reason for closure"
"ISA000000054","CK838502D","Lily","Marie","Hall","1978-11-22","Life Time ISA","No","11631.11","19624.59","2025-11-08","2026-03-22","17582.88","806.26","829.18","65295.24","2026-04-04","Cancelled","Closed"
"ISA000000055","JZ179663A","Lily","Joseph","Roberts","1983-01-18","Stock and Shares","No","7262.92","19853.34","2025-10-07","2026-04-01","10590.87","-910.73","855.55","47548.21","2026-04-02","Closed","Transferred in full"
"ISA000000056","RE896856C","Thomas","Victoria","Hall","1987-07-12","Stock and Shares","No","4835.62","16564.23","2025-09-28","2025-10-26","19479.35","-424.20","247.05","57040.53","2026-02-23","Void","Cancelled"
"ISA000000057","AS897027A","Theo","Benjamin","Taylor","1960-11-11","Innovative Finance","Yes","5013.90","14990.07","2025-07-12","2025-10-29","2740.72","1746.24","525.49","17417.06","2025-12-14","Closed","Cancelled"
"ISA000000058","KL638948D","Olivia","Samuel","Smith","1953-02-19","Innovative Finance","No","15396.79","13420.51","2025-06-10","2026-02-09","17490.80","-971.31","167.83","14885.01","2026-03-05","Closed","Transferred in full"
"ISA000000059","KL343877B","Elsie","Olivia","Clarke","2003-11-08","Innovative Finance","Yes","636.34","4447.70","2025-04-20","2026-01-27","17321.09","2043.10","562.27","10360.42","2026-02-28","Cancelled","Transferred in full"
"ISA000000060","LL810951D","Oscar","Victoria","Kelly","1944-11-12","Stock and Shares","Yes","16172.35","15487.03","2025-05-03","2025-08-12","1254.64","511.57","-536.13","77994.23","2025-12-11","Closed","Cancelled"
"ISA000000061","JZ128852A","Isla","Alexander","Bailey","1992-01-28","Cash","Yes","6608.95","15278.10","2026-02-03","2026-03-08","19795.82","2981.11","494.65","51975.43","2026-03-17","Void","All funds withdrawn"
"ISA000000062","RM611063A","Theo","Jane","Morris","2006-03-22","Life Time ISA","Yes","2043.21","6457.86","2025-09-03","2026-02-04","6463.31","2771.06","-92.56","62851.08","2026-03-07","Closed","Void"
"ISA000000063","LK300945D","Evie","Patrick","Robinson","1994-09-29","Stock and Shares","No","6493.59","16257.64","2025-04-22","2026-03-31","9222.13","3841.15","390.24","47373.87","2026-03-31","Void","All funds withdrawn"
"ISA000000064","JH763401B","Jack","Michael","Jones","1970-06-06","Stock and Shares","No","15711.73","10362.59","2025-07-04","2026-03-09","7643.97","-2938.34","939.73","70521.20","2026-04-05","Cancelled","Void"
"ISA000000065","CH918599D","Theo","Michael","Lewis","1968-02-29","Innovative Finance","Yes","18144.39","4640.42","2025-06-08","2025-11-15","19895.61","1618.72","538.66","91700.37","2026-01-18","Void","Cancelled"
"ISA000000066","HZ639500B","Lily","Benjamin","Evans","1998-08-12","Life Time ISA","Yes","17241.74","12508.09","2026-01-28","2026-02-03","3435.62","2833.57","-665.11","35372.03","2026-03-18","Closed","Closed"
"ISA000000067","SW604794C","Edward","Alexander","Taylor","1996-11-13","Cash","No","13013.05","8826.27","2025-06-09","2025-09-12","2891.61","-3585.85","245.51","26250.87","2025-11-21","Closed","Transferred in full"
"ISA000000068","KA668558B","Charlotte","William","Parker","1999-10-17","Stock and Shares","Yes","4388.94","1047.66","2025-05-14","2025-11-05","4358.19","-1095.11","463.35","76638.62","2026-04-01","Closed","Cancelled"
"ISA000000069","EE079975A","Oscar","Alice","Baker","1979-12-28","Cash","Yes","17699.32","3777.93","2025-07-03","2025-12-04","19721.40","537.25","184.72","75107.48","2026-02-20","Closed","Cancelled"
"ISA000000070","CZ767829A","Lily","Victoria","Thompson","1965-07-26","Stock and Shares","No","1138.14","18918.24","2025-10-12","2026-02-25","1627.93","-2610.21","173.39","5400.15","2026-03-26","Closed","Void"
"ISA000000071","BE354942A","Noah","Louise","Evans","1988-11-25","Innovative Finance","Yes","8472.57","6118.36","2025-07-24","2026-04-04","16446.38","1205.47","-493.64","40772.70","2026-04-04","Cancelled","All funds withdrawn"
"ISA000000072","LT025748C","Thomas","Jane","Lewis","1956-02-14","Cash","No","12340.46","4850.92","2025-06-28","2025-11-14","16644.06","1241.13","-914.62","91564.03","2026-03-09","Void","Cancelled"
"ISA000000073","MN142987C","Henry","Olivia","Miller","1955-12-23","Innovative Finance","No","7841.30","8556.63","2026-01-02","2026-01-16","4497.26","2797.53","-239.44","42673.36","2026-03-01","Cancelled","Closed"
"ISA000000074","WY207919C","Emily","Claire","White","1988-06-25","Stock and Shares","Yes","15776.83","8927.21","2025-08-22","2026-03-14","9400.67","1906.16","871.40","89042.83","2026-03-24","Cancelled","All funds withdrawn"
"ISA000000075","MB397972B","Lucas","Marie","Morris","1989-04-03","Innovative Finance","No","4630.33","11586.67","2025-05-24","2025-10-13","11050.04","1396.02","555.89","20980.78","2026-03-09","Closed","Closed"
"ISA000000076","LP124628A","William","Alice","Phillips","1981-10-01","Innovative Finance","Yes","15043.92","13267.33","2025-11-27","2026-02-14","12050.21","1523.95","-599.50","22612.71","2026-03-20","Void","Transferred in full"
"ISA000000077","MC532817A","James","Claire","Miller","1971-11-12","Stock and Shares","No","13954.21","9022.36","2026-02-03","2026-03-16","10963.05","-2308.92","822.52","96605.75","2026-03-22","Cancelled","All funds withdrawn"
"ISA000000078","PS817658D","Isla","Louise","Bailey","1998-01-28","Cash","Yes","8097.93","13668.85","2025-08-25","2025-10-02","5903.23","-3638.87","915.69","42664.65","2026-01-15","Closed","Transferred in full"
"ISA000000079","BS626123C","Theo","Victoria","Clarke","2007-10-06","Life Time ISA","Yes","12813.27","18838.32","2025-10-02","2026-03-15","2608.23","-2222.03","716.95","40436.38","2026-04-02","Closed","All funds withdrawn"
"ISA000000080","SH360505A","Arthur","Alice","Edwards","1985-02-02","Life Time ISA","No","890.47","4660.98","2025-04-17","2025-04-25","16040.36","893.35","332.07","13552.47","2026-01-03","Void","Void"
"ISA000000081","AW772740C","Poppy","Ann","Walker","1986-10-30","Innovative Finance","No","18357.76","2227.15","2025-07-19","2026-02-06","15010.91","2057.97","918.30","27561.44","2026-03-14","Void","Cancelled"
"ISA000000082","MR431683A","Ruby","Michael","Martin","1960-04-11","Stock and Shares","Yes","19875.18","15755.10","2025-04-18","2025-06-08","6655.53","73.84","289.76","63375.04","2026-02-01","Cancelled","Void"
"ISA000000083","SA806650D","Isla","Grace","Jackson","1997-09-22","Cash","No","15108.19","2958.54","2025-04-23","2025-08-05","6015.48","325.31","-594.60","41192.24","2025-12-30","Cancelled","Transferred in full"
"ISA000000084","EY935752A","Elsie","Elizabeth","Green","1976-02-02","Stock and Shares","Yes","11.02","11000.14","2025-11-16","2025-12-12","11318.85","-2517.64","957.24","4923.65","2026-04-02","Cancelled","Cancelled"
"ISA000000085","EY403076A","Grace","Ann","Roberts","1978-08-27","Innovative Finance","No","4410.60","19077.77","2025-07-19","2026-01-22","15005.51","-2485.37","792.33","56994.38","2026-02-18","Cancelled","Void"
"ISA000000086","WE330710C","Maya","Victoria","Johnson","1943-06-04","Life Time ISA","Yes","1072.14","13738.00","2025-10-05","2025-12-14","18224.43","2109.53","-694.32","10173.89","2026-01-18","Closed","Cancelled"
"ISA000000087","RK230337A","Elsie","Grace","Carter","1979-06-19","Innovative Finance","Yes","14330.76","9952.40","2025-09-08","2025-09-30","15364.40","3362.29","657.98","80981.09","2026-01-10","Cancelled","Closed"
"ISA000000088","RL496445B","Ava","Marie","Walker","1952-02-10","Life Time ISA","No","13461.52","12325.17","2025-06-26","2025-12-25","18585.38","2318.76","521.42","78559.23","2026-02-09","Void","All funds withdrawn"
"ISA000000089","AN025646D","Edward","Samuel","Miller","1968-01-23","Innovative Finance","No","11869.40","7155.20","2025-10-10","2025-10-12","11479.28","-2377.15","274.67","94321.45","2026-01-23","Void","Transferred in full"
"ISA000000090","WX531205B","Amelia","Thomas","Harris","1981-04-12","Stock and Shares","Yes","4598.93","8510.58","2025-08-13","2025-10-23","2949.99","-3499.74","932.01","41495.95","2026-02-18","Cancelled","Cancelled"
"ISA000000091","HZ782850C","Oscar","Olivia","Murphy","1959-04-29","Innovative Finance","No","19500.91","11737.40","2025-11-04","2026-02-17","10043.73","1600.37","553.30","37966.72","2026-03-10","Closed","Transferred in full"
"ISA000000092","EY037842B","Daisy","Jane","Robinson","1990-09-02","Innovative Finance","Yes","13800.66","5781.27","2026-01-06","2026-01-16","1398.79","-44.46","487.02","97847.40","2026-02-13","Cancelled","Void"
"ISA000000093","JN033575B","Sophia","Jane","Jackson","1953-03-04","Cash","No","10029.92","10842.79","2025-04-27","2025-05-16","4132.61","-2327.21","-750.70","22603.68","2025-11-07","Closed","Void"
"ISA000000094","MN839160A","Jack","Joseph","Evans","1948-08-15","Stock and Shares","No","6537.75","16628.86","2025-05-11","2025-11-16","10850.03","1924.12","563.87","66739.09","2026-01-23","Closed","Cancelled"
"ISA000000095","AE749914B","Noah","Alice","Cooper","1948-03-28","Innovative Finance","Yes","15525.90","4430.60","2025-09-21","2026-02-16","15478.76","2583.25","902.81","86187.48","2026-03-24","Void","Void"
"ISA000000096","JJ670075B","Evie","Claire","Scott","1965-05-31","Cash","No","9080.02","17026.67","2025-11-03","2026-01-01","12606.62","1758.27","327.17","8973.03","2026-01-25","Cancelled","All funds withdrawn"
"ISA000000097","RN735733B","Arthur","Jane","Young","1956-10-11","Cash","Yes","5896.68","1024.14","2025-09-27","2026-03-06","7113.68","3085.79","-651.12","34893.21","2026-03-16","Cancelled","Void"
"ISA000000098","KP625189C","Hannah","Alexander","Allen","1954-03-26","Innovative Finance","Yes","16921.86","2974.89","2025-05-28","2026-01-07","175.50","2315.77","536.43","67091.78","2026-02-09","Closed","All funds withdrawn"
"ISA000000099","MZ087859B","Lily","Louise","Baker","1963-10-11","Cash","Yes","15994.00","3843.94","2025-07-15","2026-02-11","18146.20","1811.48","752.02","17447.69","2026-03-13","Cancelled","All funds withdrawn"
"ISA000000100","BK910892A","Freya","Louise","Johnson","1958-11-07","Innovative Finance","Yes","10875.40","425.73","2025-09-25","2025-12-31","7136.92","3748.80","918.56","32988.73","2026-02-27","Cancelled","Void"
