"Account Number","National Insurance Number ","First Name","Middle Name","Surname ","Date of Birth","ISA Type being reported","Flexible ISA","Total current year subscriptions transferred in","Total current year subscriptions transferred out ","Date of first subscription event","Date of last subscription event","Total current year to date subscriptions ","LISA qualifying addition","LISA bonus claim","Market value of account","Closure Date","ISA Reason for closure","LISA Reason for closure"
"ISA000000050","SW853879D","Jack","Olivia","Foster","1979-10-29","Cash","No","1584.75","19254.53","2025-06-11","2025-06-23","17837.85","369.16","737.60","86563.47","2025-12-30","Cancelled","Closed"
"ISA000000051","JM207341A","Isla","Samuel","Walker","1979-05-22","Innovative Finance","Yes","13118.58","4134.61","2025-12-05","2025-12-30","2337.09","1902.20","271.94","63129.81","2026-02-01","Closed","Transferred in full"
"ISA000000052","JY965105C","Henry","Rose","Smith","1977-05-06","Cash","No","12543.89","9382.83","2025-05-11","2025-06-13","10249.58","3730.98","196.25","6892.89","2026-02-19","Closed","Void"
"ISA000000053","HX036155A","Maya","Rose","Thomas","1948-04-07","Stock and Shares","No","1819.92","9293.56","2025-09-22","2026-01-30","15138.97","584.68","942.88","68290.95","2026-03-04","Cancelled","Closed"
"ISA000000054","SM023278A","Oscar","Grace","Taylor","1991-06-05","Life Time ISA","No","14200.05","13924.17","2025-08-01","2026-01-07","12202.45","-606.75","-116.69","34080.38","2026-03-28","Void","Void"
"ISA000000055","KW112365A","Edward","Ann","Jones","1963-11-29","Stock and Shares","No","14365.19","18174.41","2025-10-21","2025-12-18","7458.51","3471.52","9.64","3842.98","2025-12-28","Closed","Cancelled"
"ISA000000056","KZ604237B","Harry","Alexander","Robinson","1947-05-21","Cash","No","10230.77","1351.42","2025-08-24","2026-03-30","3839.44","3756.05","214.06","18635.10","2026-04-01","Closed","Void"
"ISA000000057","KP997853C","Elsie","Claire","Allen","1998-04-13","Innovative Finance","Yes","5599.02","3136.34","2025-05-17","2025-05-25","8885.34","3153.38","753.59","35953.78","2025-11-01","Closed","All funds withdrawn"
"ISA000000058","RW533542A","Lucas","Elizabeth","Robinson","1998-03-02","Stock and Shares","No","8779.54","14407.59","2025-07-18","2026-01-21","17943.16","3779.68","-353.43","83064.79","2026-04-04","Void","Void"
"ISA000000059","PK349409A","Hannah","Victoria","Parker","2007-10-27","Cash","Yes","11069.49","11799.27","2025-12-01","2026-01-01","1743.48","-1753.03","987.38","13121.21","2026-01-13","Closed","Cancelled"
"ISA000000060","PZ393689D","Elsie","Ann","Foster","1993-02-03","Innovative Finance","Yes","2332.19","13277.70","2025-10-25","2025-11-19","9413.75","774.90","-366.89","97645.02","2025-12-31","Closed","Closed"
"ISA000000061","JE413333D","Logan","Thomas","Lewis","1946-09-20","Cash","Yes","16664.28","10334.49","2025-05-03","2025-05-07","19919.98","992.18","30.55","19814.53","2025-11-03","Void","Void"
"ISA000000062","JY372297B","Oliver","Alice","Edwards","1967-03-30","Cash","Yes","5177.90","13017.77","2026-01-25","2026-03-30","8017.64","3052.64","659.67","45074.87","2026-04-03","Void","Closed"
"ISA000000063","AT473901B","Ruby","Benjamin","Martin","1986-07-24","Innovative Finance","No","2327.88","11001.76","2025-08-31","2026-03-02","13234.95","1656.42","250.08","64179.53","2026-03-08","Cancelled","Void"
"ISA000000064","WS701577C","Sophia","Alice","Walker","1941-10-14","Life Time ISA","Yes","1776.88","5935.63","2025-12-19","2026-02-23","13087.95","2359.06","189.31","46928.96","2026-03-12","Cancelled","Transferred in full"
"ISA000000065","WB912301D","Harry","Claire","Adams","1973-03-25","Life Time ISA","Yes","4030.03","18090.49","2025-09-21","2026-02-26","13398.55","1827.25","840.44","30697.91","2026-03-07","Void","Closed"
"ISA000000066","RH894559B","Jack","William","Brown","1988-06-12","Stock and Shares","Yes","7781.70","9345.29","2025-09-28","2025-12-18","3974.13","3410.65","479.49","42505.80","2025-12-30","Void","Closed"
"ISA000000067","CZ124172A","Elsie","Rose","Brown","1956-07-19","Innovative Finance","Yes","979.00","14130.51","2025-05-11","2025-08-21","5976.90","2613.15","-50.63","89634.05","2026-02-10","Void","Transferred in full"
"ISA000000068","BZ070074A","Isla","Elizabeth","Walker","1966-07-12","Cash","Yes","7649.05","3590.08","2025-08-08","2026-03-29","11390.47","3977.22","555.27","61095.16","2026-04-05","Cancelled","Void"
"ISA000000069","RM633055D","Oliver","Ann","Wilson","1990-07-16","Cash","No","13578.50","11469.85","2025-12-28","2026-03-07","11783.14","1347.58","967.13","22659.74","2026-03-20","Void","Void"
"ISA000000070","MP096750B","Lily","Elizabeth","Cooper","1956-01-23","Innovative Finance","Yes","5140.42","13435.83","2025-06-15","2025-12-20","5579.26","3894.61","339.58","97790.80","2026-01-15","Void","Transferred in full"
"ISA000000071","LW865002C","Jack","Thomas","Clarke","2002-02-07","Innovative Finance","No","8063.90","5941.07","2025-07-27","2026-03-24","14774.57","-1343.71","180.05","16245.02","2026-03-29","Closed","All funds withdrawn"
"ISA000000072","EC451625C","Daisy","Claire","Hall","1959-02-14","Innovative Finance","No","7218.91","13947.65","2025-12-23","2026-03-30","19835.43","-936.32","-426.50","19930.67","2026-04-04","Cancelled","Transferred in full"
"ISA000000073","JJ245217B","Noah","Grace","Jones","1954-09-19","Innovative Finance","Yes","7914.05","2004.09","2025-10-04","2025-10-12","14252.09","2116.94","677.37","87652.57","2026-02-14","Closed","Cancelled"
"ISA000000074","AY431513C","Lily","Jane","Taylor","1993-08-16","Stock and Shares","Yes","13443.78","7737.77","2025-07-28","2025-09-06","17549.09","-3457.40","284.08","21077.96","2025-10-07","Void","All funds withdrawn"
"ISA000000075","CW538252B","Harry","Patrick","Wright","1971-07-19","Life Time ISA","No","18764.62","13586.32","2025-04-26","2025-08-22","7948.55","1698.26","-470.54","88867.75","2026-03-29","Cancelled","All funds withdrawn"
"ISA000000076","KZ631880B","Charlotte","Victoria","Harris","1942-05-27","Innovative Finance","Yes","15146.58","19467.43","2025-10-04","2025-10-17","18155.37","3974.33","-957.80","333.69","2025-11-23","Void","Cancelled"
"ISA000000077","RJ368530A","Ruby","Ann","Foster","1992-02-21","Innovative Finance","No","862.39","7358.01","2025-10-05","2026-01-04","16697.27","1549.82","19.78","19737.78","2026-01-11","Cancelled","Cancelled"
"ISA000000078","SM660245B","Hannah","Thomas","Scott","1977-08-28","Cash","Yes","13765.28","14062.05","2025-12-18","2026-03-01","6069.53","1327.69","-940.71","35035.90","2026-03-23","Void","Void"
"ISA000000079","MT586479C","Maya","Thomas","Jones","1946-05-05","Life Time ISA","No","8802.68","18944.14","2025-04-18","2026-01-03","14766.25","2725.07","47.00","19786.36","2026-01-14","Closed","Cancelled"
"ISA000000080","WE490931B","Daniel","Marie","Harris","2007-09-24","Cash","No","8692.57","7230.38","2025-12-22","2026-02-22","14266.09","-2530.39","-574.44","22516.63","2026-03-31","Closed","Transferred in full"
"ISA000000081","MM648344B","Emily","Samuel","Davies","1973-10-29","Stock and Shares","No","12160.70","10142.96","2025-12-11","2026-01-20","1779.22","277.72","-239.29","41917.52","2026-02-18","Void","All funds withdrawn"
"ISA000000082","MZ601318A","Maya","David","Hughes","1979-10-07","Innovative Finance","Yes","3158.11","14785.66","2025-07-12","2025-11-15","1682.82","3542.15","500.39","55684.81","2025-12-29","Closed","Closed"
"ISA000000083","BC846222B","Jack","Olivia","Bennett","1946-04-27","Stock and Shares","No","17980.47","17804.63","2025-12-09","2026-02-25","2841.97","-1866.02","16.52","86089.08","2026-03-26","Cancelled","Closed"
"ISA000000084","AX251456A","Oscar","Thomas","Wilson","1941-12-07","Life Time ISA","Yes","19743.78","15315.87","2025-07-23","2025-08-18","8410.90","3407.88","980.90","49984.76","2026-03-12","Closed","All funds withdrawn"
"ISA000000085","SN122654D","Emily","Thomas","Young","1945-11-29","Stock and Shares","No","5044.27","10768.01","2026-02-17","2026-03-31","3103.95","3703.00","861.98","32400.48","2026-04-05","Closed","All funds withdrawn"
"ISA000000086","EJ704635B","Olivia","Louise","Martin","1965-08-14","Stock and Shares","No","3806.58","3459.72","2025-07-17","2025-11-26","12088.32","2750.53","533.39","28250.71","2026-03-05","Void","Transferred in full"
"ISA000000087","HM686906B","Ava","Rose","Cooper","1981-02-23","Cash","Yes","14229.23","952.88","2025-10-11","2025-11-02","19253.65","-850.65","548.18","86863.46","2025-12-18","Cancelled","Transferred in full"
"ISA000000088","LK180523A","Hannah","David","Wilson","1971-11-02","Stock and Shares","No","10496.98","3080.57","2025-06-29","2026-03-01","17429.11","898.08","407.63","97988.50","2026-03-29","Closed","Closed"
"ISA000000089","WS362090A","Emily","Joseph","Morris","1946-12-16","Cash","Yes","8510.68","4158.57","2025-06-01","2025-12-27","5101.07","-2785.47","463.88","41357.86","2026-01-10","Cancelled","All funds withdrawn"
"ISA000000090","ER747625B","Harry","Michael","Davies","1958-09-06","Life Time ISA","No","7999.19","10795.60","2025-05-19","2025-10-17","15585.79","2749.47","-851.93","64543.35","2026-01-12","Cancelled","All funds withdrawn"
"ISA000000091","PA858854B","Ruby","Alice","Johnson","1985-05-06","Life Time ISA","Yes","408.25","6417.56","2025-06-03","2025-07-22","17187.10","1420.54","629.39","78976.04","2025-11-05","Void","All funds withdrawn"
"ISA000000092","JC415408C","Hannah","Benjamin","Kelly","1988-11-26","Life Time ISA","No","19232.90","19064.28","2026-02-15","2026-02-17","9217.81","1530.81","958.44","47181.23","2026-04-04","Void","Closed"
"ISA000000093","AL124993A","Ruby","Jane","Foster","2003-02-05","Life Time ISA","Yes","17100.73","18541.80","2025-04-22","2026-01-19","430.38","2483.40","980.36","73611.83","2026-02-17","Void","Void"
"ISA000000094","LJ492983D","Henry","Jane","Williams","2006-05-03","Cash","Yes","1888.99","17198.02","2025-05-31","2026-03-16","16030.88","1637.42","613.40","26164.13","2026-03-22","Closed","Cancelled"
"ISA000000095","WX042599A","Arthur","Thomas","Johnson","1967-11-24","Stock and Shares","Yes","18258.56","176.77","2025-11-08","2026-02-13","11780.81","2617.99","940.61","58694.87","2026-02-17","Void","Cancelled"
"ISA000000096","BJ930569B","Emily","Victoria","Thomas","1980-04-21","Stock and Shares","No","14307.29","7297.72","2025-04-11","2025-09-18","1339.95","2138.72","767.66","40157.24","2026-02-09","Closed","Cancelled"
"ISA000000097","AN055963C","Thomas","Olivia","Wright","1993-04-09","Stock and Shares","No","1925.20","19146.46","2025-07-16","2025-11-12","18580.02","1660.46","367.23","93019.63","2026-02-09","Closed","Closed"
"ISA000000098","JN372048A","Arthur","William","Bailey","1971-10-11","Life Time ISA","Yes","180.85","9132.96","2025-12-20","2026-04-02","6273.38","3963.72","-736.09","14185.02","2026-04-05","Void","Transferred in full"
"ISA000000099","CW770414D","Finley","Jane","Robinson","1984-11-16","Life Time ISA","No","15145.00","9853.21","2025-08-09","2025-12-11","19399.80","2398.96","448.69","52790.83","2026-03-09","Closed","Closed"
"ISA000000100","JE701536B","Evie","Samuel","Brown","2002-06-01","Stock and Shares","Yes","13039.17","9825.14","2025-10-26","2025-11-02","7768.46","3804.98","-486.43","11622.96","2026-02-27","Void","Transferred in full"
"ISA000000101","WM080944D","Henry","Benjamin","Williams","1993-01-13","Life Time ISA","Yes","18122.45","13212.39","2025-06-10","2025-12-03","11977.04","-3434.54","280.03","39814.15","2026-03-14","Closed","Closed"
"ISA000000102","PS932228C","Lucas","David","Bennett","1991-01-05","Cash","No","12877.07","6219.30","2026-01-27","2026-03-12","9459.90","1414.33","390.61","86330.00","2026-04-04","Closed","Closed"
"ISA000000103","HA542465B","Hannah","Ann","Taylor","1962-11-26","Stock and Shares","Yes","14347.13","2751.02","2025-07-31","2025-12-20","8713.61","3753.78","397.17","89244.04","2026-03-30","Closed","Void"
"ISA000000104","ES425191A","Lucas","Joseph","Martin","1983-10-15","Stock and Shares","Yes","10412.21","8484.65","2025-07-25","2026-03-18","4784.85","1074.17","210.57","76434.46","2026-03-20","Void","Closed"
"ISA000000105","BN490988B","Edward","Elizabeth","Wright","1947-12-24","Innovative Finance","Yes","1315.08","13252.48","2025-04-08","2025-06-24","14900.90","-1399.01","999.22","82735.98","2025-09-05","Cancelled","Transferred in full"
"ISA000000106","LM411513A","Charlotte","Rose","Robinson","1942-11-21","Life Time ISA","Yes","2927.86","10900.80","2025-07-16","2025-08-18","7168.28","2843.70","790.70","44375.53","2026-03-16","Closed","Void"
"ISA000000107","BY935490B","Ethan","Joseph","Roberts","1960-06-19","Life Time ISA","Yes","1401.13","3363.61","2025-06-19","2026-02-16","18884.52","3620.65","208.44","73650.88","2026-03-21","Closed","Closed"
"ISA000000108","BY490741D","Daisy","Jane","Wright","1994-09-14","Stock and Shares","No","15101.48","16626.92","2025-08-29","2026-02-01","1960.77","1799.00","685.21","62651.94","2026-02-06","Void","Cancelled"
"ISA000000109","ET667726B","Leo","Jane","Baker","1990-03-25","Cash","No","9680.94","2819.31","2025-06-09","2025-08-13","17392.23","363.31","521.00","39652.63","2026-02-20","Closed","Cancelled"
"ISA000000110","LC740598D","Grace","Olivia","Collins","1959-05-14","Cash","No","1755.56","10833.22","2025-11-27","2026-02-13","17626.41","1871.97","710.49","16331.88","2026-03-04","Closed","Void"
"ISA000000111","JP057728C","Evie","Thomas","Roberts","1964-02-04","Life Time ISA","Yes","14499.87","15993.26","2025-04-22","2025-05-26","1987.68","2711.56","-408.27","14308.44","2025-07-17","Cancelled","Void"
"ISA000000112","CJ250859C","Grace","Olivia","Bennett","2005-01-09","Cash","No","9873.81","13789.29","2025-04-07","2025-05-08","1547.78","3897.75","627.16","77357.30","2025-11-26","Cancelled","All funds withdrawn"
"ISA000000113","JM410388B","Henry","Joseph","Bennett","1993-06-04","Cash","No","18958.53","6687.63","2025-12-23","2025-12-31","16558.41","-1704.80","782.42","41473.20","2026-03-27","Closed","Void"
"ISA000000114","SW816513D","Maya","Louise","Foster","1968-04-23","Innovative Finance","Yes","5185.48","18060.59","2025-04-10","2025-09-20","2532.73","21.55","172.33","50300.74","2026-01-09","Cancelled","Cancelled"
"ISA000000115","RM466765A","George","Jane","Adams","2002-10-11","Innovative Finance","Yes","14184.91","16981.61","2025-06-21","2025-08-11","10115.97","1372.51","877.68","83858.18","2025-12-30","Closed","Cancelled"
"ISA000000116","SZ268810C","Olivia","David","Parker","1967-03-16","Innovative Finance","No","17057.44","15075.70","2025-07-19","2026-02-25","1238.25","2710.40","206.28","6904.11","2026-03-04","Closed","Transferred in full"
"ISA000000117","EZ183493D","Ethan","David","Johnson","1956-09-20","Innovative Finance","Yes","9708.59","17264.23","2025-05-15","2026-03-26","5943.92","1994.97","269.18","72317.24","2026-03-31","Void","Closed"
"ISA000000118","KA217980A","Harry","Patrick","Kelly","1946-12-06","Innovative Finance","No","11555.23","6437.44","2026-01-29","2026-03-27","9387.61","1464.96","696.23","30731.96","2026-03-30","Cancelled","Cancelled"
"ISA000000119","MN053392B","Oliver","Alice","Smith","1964-02-23","Innovative Finance","No","9981.10","2802.82","2025-07-18","2026-03-25","10943.60","1760.91","33.60","80822.91","2026-04-04","Void","All funds withdrawn"
"ISA000000120","SA206050D","Oscar","Michael","Evans","1986-12-14","Stock and Shares","No","6901.96","12504.48","2026-02-06","2026-02-11","15639.17","-378.22","672.25","48645.06","2026-03-25","Closed","Closed"
"ISA000000121","MY113008B","Oliver","Elizabeth","Robinson","1950-01-23","Innovative Finance","Yes","4975.94","8547.87","2026-01-18","2026-03-03","8517.20","185.52","131.19","82629.67","2026-03-15","Void","Void"
"ISA000000122","EY417039B","Poppy","Claire","Roberts","1950-05-23","Life Time ISA","No","4054.13","18369.63","2026-02-01","2026-03-14","89.34","3358.05","-270.18","95748.00","2026-03-14","Void","Transferred in full"
"ISA000000123","JX686528D","Noah","Grace","White","1980-07-10","Stock and Shares","Yes","5362.53","11059.18","2025-08-27","2026-01-24","3351.55","2123.00","395.27","45289.23","2026-02-18","Void","Cancelled"
"ISA000000124","EY841564C","William","Marie","Davies","2000-02-23","Cash","Yes","3866.45","635.74","2026-02-02","2026-02-17","12763.19","1215.16","912.56","70238.01","2026-03-30","Void","Void"
"ISA000000125","AZ441557D","Oscar","Victoria","Adams","1949-11-05","Life Time ISA","Yes","13130.10","9485.68","2025-06-11","2025-12-26","17088.11","3551.15","94.06","57789.77","2026-03-11","Void","Closed"
"ISA000000126","AJ920047A","Sophia","Alice","Thompson","1971-03-22","Innovative Finance","Yes","14550.28","4454.20","2025-07-02","2025-07-21","19440.07","1257.85","596.95","44145.53","2026-03-26","Cancelled","Closed"
"ISA000000127","RH516729B","Jack","Samuel","Martin","1978-04-24","Stock and Shares","No","17737.00","4207.10","2025-12-27","2026-01-31","4153.18","-746.52","422.11","72695.55","2026-02-24","Closed","All funds withdrawn"
"ISA000000128","EC527830A","James","Thomas","Harris","1962-06-20","Cash","No","11767.98","14158.79","2026-01-08","2026-02-08","1922.91","3924.28","22.70","1820.43","2026-02-16","Cancelled","Void"
"ISA000000129","JB042603A","Oscar","William","White","1959-04-10","Life Time ISA","Yes","370.53","7687.72","2025-06-20","2026-03-30","6610.48","2568.31","79.33","63415.35","2026-04-05","Void","Transferred in full"
"ISA000000130","RL940453C","Lucas","Jane","White","1989-09-07","Cash","No","12133.06","4066.99","2026-01-19","2026-01-29","15887.53","1886.43","-234.51","70250.14","2026-03-18","Closed","Transferred in full"
