"Account Number","National Insurance Number ","First Name","Middle Name","Surname ","Date of Birth","ISA Type being reported","Flexible ISA","Total current year subscriptions transferred in","Total current year subscriptions transferred out ","Date of first subscription event","Date of last subscription event","Total current year to date subscriptions ","LISA qualifying addition","LISA bonus claim","Market value of account","Closure Date","ISA Reason for closure","LISA Reason for closure"
"ISA000000038","SH585660D","Charlotte","David","Walker","1972-03-18","Innovative Finance","Yes","12784.42","14687.90","2025-05-05","2026-01-09","261.90","1287.49","591.70","68140.60","2026-03-18","Closed","Void"
"ISA000000039","BZ231745B","Jacob","Grace","King","1982-11-23","Cash","Yes","17368.81","17043.60","2025-07-31","2025-11-15","14342.86","2034.03","-787.62","25406.31","2025-12-29","Closed","Void"
"ISA000000040","CN327204A","Ruby","Victoria","Parker","2004-07-17","Innovative Finance","No","18963.57","10537.80","2026-01-14","2026-01-16","3524.24","2662.68","22.47","8487.72","2026-01-18","Cancelled","Transferred in full"
"ISA000000041","HP953006B","Henry","Patrick","Thompson","1964-09-12","Life Time ISA","Yes","2138.82","19150.63","2025-07-18","2025-08-14","12595.13","3511.29","160.31","7353.40","2026-02-12","Cancelled","Closed"
"ISA000000042","WB703716C","Oliver","Grace","Jackson","1990-09-04","Cash","No","9839.24","8888.44","2025-05-24","2025-09-08","17635.07","2332.75","401.92","69132.99","2025-12-01","Cancelled","Transferred in full"
"ISA000000043","PB734659A","Poppy","Alexander","Bennett","1996-10-27","Life Time ISA","No","9077.42","3657.89","2025-07-08","2025-09-11","17550.06","3890.46","342.86","2876.55","2025-09-20","Void","Cancelled"
"ISA000000044","EZ528288C","Ava","Ann","Miller","1949-12-12","Life Time ISA","No","6132.43","6322.48","2025-06-28","2025-07-06","6704.19","2216.30","378.64","12232.67","2025-10-12","Cancelled","All funds withdrawn"
"ISA000000045","CB614236C","Jack","Olivia","Robinson","1957-10-22","Innovative Finance","No","11557.94","4724.89","2025-12-17","2026-01-22","8600.57","350.98","742.36","25788.48","2026-03-28","Cancelled","Closed"
"ISA000000046","EB290662A","Noah","Samuel","Wright","1979-02-22","Stock and Shares","No","11566.85","13594.81","2025-07-25","2025-07-25","14961.10","-1544.83","265.57","79307.83","2026-01-08","Void","All funds withdrawn"
"ISA000000047","RS160718C","Elsie","Grace","Adams","1944-12-04","Life Time ISA","Yes","16966.43","1688.52","2025-05-28","2025-08-25","4901.83","2551.63","732.89","18710.68","2025-08-25","Cancelled","Cancelled"
"ISA000000048","PA931522A","Noah","Benjamin","Foster","1998-03-08","Life Time ISA","Yes","9671.81","10582.56","2025-11-12","2025-12-17","6801.77","1602.97","68.70","31356.89","2026-01-31","Void","Closed"
"ISA000000049","JS699300B","Mia","Claire","Walker","1985-01-04","Life Time ISA","Yes","4344.40","16996.74","2025-04-13","2025-12-11","19425.18","-2082.37","926.44","22678.75","2026-02-22","Void","Closed"
"ISA000000050","RE263288A","Arthur","Marie","Jones","1964-04-17","Stock and Shares","Yes","11880.69","11762.44","2025-05-23","2026-01-31","8759.55","2534.95","801.88","67737.11","2026-03-30","Cancelled","Void"
"ISA000000051","CY477012A","Arthur","Louise","Baker","2005-11-11","Innovative Finance","Yes","10517.11","1217.11","2025-07-20","2025-09-28","11251.49","2693.19","604.99","97510.67","2025-11-13","Closed","Cancelled"
"ISA000000052","HW427379A","Noah","Joseph","Wright","2002-06-26","Stock and Shares","No","4617.78","2019.29","2025-05-15","2026-01-24","18066.66","3163.57","248.18","58930.15","2026-02-19","Closed","Cancelled"
"ISA000000053","ME824803A","Charlotte","Thomas","Green","1941-10-24","Life Time ISA","Yes","15065.11","16953.85","2025-06-26","2025-12-29","8100.75","2071.19","377.44","23425.03","2026-03-19","Closed","Transferred in full"
"ISA000000054","SR446615C","Jacob","Michael","Green","1942-08-04","Life Time ISA","No","3435.55","12340.01","2025-04-29","2026-03-09","8268.02","3081.93","97.30","60585.54","2026-03-20","Void","Closed"
"ISA000000055","PN735304C","Evie","Grace","Hall","1973-06-29","Innovative Finance","Yes","9216.78","15711.07","2025-07-14","2026-02-03","15995.19","-399.57","317.66","97849.27","2026-02-14","Void","Transferred in full"
"ISA000000056","PN104800A","Sophia","Benjamin","Kelly","1994-09-28","Life Time ISA","Yes","2744.22","1594.92","2025-09-27","2025-11-21","5985.87","486.39","-252.71","69040.69","2026-01-19","Closed","Transferred in full"
"ISA000000057","RN981178C","Oscar","Ann","Clarke","1967-12-27","Stock and Shares","No","3342.45","18405.24","2025-08-01","2026-03-20","7474.21","505.49","576.74","69315.43","2026-04-05","Cancelled","Cancelled"
"ISA000000058","AZ685101A","Ava","Ann","Taylor","1955-07-24","Cash","No","9132.26","5703.37","2025-05-11","2025-09-19","10220.65","-2385.63","215.21","55026.90","2025-09-22","Closed","Void"
"ISA000000059","AE183602C","Jack","Marie","Foster","1974-10-26","Stock and Shares","No","13122.72","3249.94","2026-02-17","2026-03-10","2095.67","2401.70","755.91","65607.46","2026-04-05","Closed","All funds withdrawn"
"ISA000000060","AK963681B","Freya","Ann","Lewis","1974-08-11","Stock and Shares","No","4709.98","12722.39","2025-04-21","2025-09-15","18589.74","285.52","382.28","90619.94","2025-12-14","Void","Closed"
"ISA000000061","HZ186785D","Mia","Ann","Foster","1999-08-30","Cash","No","17101.45","18723.49","2026-01-31","2026-03-28","16987.86","927.92","674.30","3194.20","2026-04-03","Closed","All funds withdrawn"
"ISA000000062","EZ624502D","Arthur","David","Roberts","1994-02-10","Innovative Finance","Yes","5880.60","16468.23","2025-09-28","2026-01-11","1855.67","382.32","491.99","17021.03","2026-03-13","Cancelled","Transferred in full"
"ISA000000063","MA278858D","Hannah","Jane","Martin","2005-03-23","Stock and Shares","No","1684.60","11839.90","2026-01-15","2026-03-08","16790.68","-2321.93","-173.42","7004.59","2026-03-17","Cancelled","Cancelled"
"ISA000000064","PN780502C","Amelia","Rose","Davies","1978-09-15","Stock and Shares","Yes","9160.36","13467.04","2025-08-07","2026-03-18","5392.51","2939.84","744.02","75210.09","2026-04-02","Closed","Transferred in full"
"ISA000000065","BJ256264C","Oliver","Marie","Allen","1946-02-22","Innovative Finance","Yes","16965.02","16043.52","2025-07-01","2026-02-24","1522.07","137.81","482.55","35664.30","2026-03-25","Cancelled","All funds withdrawn"
"ISA000000066","RP270846B","Charlotte","David","Walker","1947-05-01","Life Time ISA","No","9397.73","19490.27","2025-05-07","2025-08-17","5191.05","1375.29","265.77","21057.13","2026-01-22","Void","Closed"
"ISA000000067","ML961194C","Oscar","Patrick","Davies","1993-10-20","Life Time ISA","No","11389.28","8758.54","2026-02-08","2026-03-26","11077.69","2378.89","456.16","87209.37","2026-04-01","Void","Void"
"ISA000000068","CK050568C","Emily","Jane","Robinson","1966-03-18","Cash","Yes","5302.57","5921.70","2025-10-22","2026-03-13","2341.84","1602.71","392.16","15993.03","2026-03-22","Cancelled","Cancelled"
"ISA000000069","AS427340A","Daisy","Claire","Thompson","1998-08-02","Stock and Shares","No","1272.68","3767.35","2025-10-26","2026-03-21","7796.30","-838.79","-957.18","86733.34","2026-04-04","Cancelled","Cancelled"
"ISA000000070","HH144785D","James","Alexander","Harris","1980-11-30","Innovative Finance","Yes","12002.71","19521.78","2025-08-13","2026-03-03","1455.36","-375.28","110.23","29533.10","2026-03-04","Void","Void"
"ISA000000071","HC287739B","Sophia","Benjamin","Foster","1996-10-06","Life Time ISA","Yes","9110.41","2494.43","2025-06-27","2025-07-20","4144.19","3190.30","954.41","29211.70","2025-10-26","Void","All funds withdrawn"
"ISA000000072","LY466391B","Oliver","Thomas","Morris","1953-09-12","Stock and Shares","No","16048.81","18615.92","2025-06-17","2025-07-11","4891.13","498.04","605.99","32365.28","2025-07-26","Closed","Cancelled"
"ISA000000073","HC632601B","Leo","David","Kelly","1968-06-06","Life Time ISA","No","13946.60","12869.62","2025-06-28","2026-02-04","10654.88","3064.65","205.26","5578.58","2026-02-18","Cancelled","Transferred in full"
"ISA000000074","WP787941D","Finley","Marie","Baker","1946-12-17","Stock and Shares","No","7463.97","7929.01","2025-11-27","2026-01-27","12072.92","3619.36","835.57","76001.63","2026-02-23","Closed","All funds withdrawn"
"ISA000000075","ML237948A","Ruby","Patrick","Taylor","1974-10-25","Cash","Yes","11829.41","1687.98","2025-06-23","2025-08-10","8655.68","-3668.33","503.17","35145.93","2025-11-24","Cancelled","Transferred in full"
"ISA000000076","HP089717A","Finley","Marie","Thomas","1967-01-21","Cash","Yes","15332.79","10782.85","2026-01-21","2026-02-27","15654.97","2156.69","596.20","22829.55","2026-04-04","Closed","Void"
"ISA000000077","EW145473C","Olivia","David","Roberts","1954-08-25","Life Time ISA","No","18555.63","13210.46","2025-07-23","2025-10-12","9695.44","-1755.02","748.62","22900.84","2026-04-05","Void","Transferred in full"
"ISA000000078","HK629852C","Arthur","Victoria","White","1953-02-16","Cash","No","8347.93","12493.07","2025-07-23","2025-09-22","8104.10","-2084.84","664.59","972.82","2026-03-29","Closed","All funds withdrawn"
"ISA000000079","JN682071B","Charlotte","Rose","Miller","2004-12-23","Stock and Shares","No","14221.91","18223.33","2025-09-01","2026-03-24","19779.31","-1780.50","578.17","33124.18","2026-03-25","Closed","All funds withdrawn"
"ISA000000080","EE148411B","Theo","Louise","White","1975-06-27","Cash","No","16792.95","17158.75","2025-05-06","2025-05-17","5777.84","268.73","227.31","97916.64","2026-02-23","Void","Void"
"ISA000000081","JX045689A","Finley","William","Martin","1974-06-01","Stock and Shares","No","19131.20","13876.81","2025-10-07","2026-03-02","19183.98","2645.02","-17.25","54832.23","2026-03-22","Void","Closed"
"ISA000000082","HX120755C","Poppy","David","Bennett","2006-10-19","Life Time ISA","Yes","6732.94","7467.03","2025-12-13","2026-01-10","15096.33","52.41","730.43","75823.98","2026-01-15","Void","Void"
"ISA000000083","HB374792A","Ruby","Jane","Parker","1976-05-15","Cash","Yes","12597.46","6322.00","2025-06-23","2025-12-20","9903.07","1342.50","694.23","30603.99","2026-03-02","Void","Cancelled"
"ISA000000084","BL779445B","Arthur","Thomas","Collins","1950-06-18","Innovative Finance","No","19298.24","427.28","2025-08-20","2025-09-22","4915.51","-1407.58","839.27","75934.58","2026-02-21","Cancelled","Transferred in full"
"ISA000000085","KS270745D","Lily","David","Clarke","1973-05-19","Cash","Yes","3041.04","5418.17","2025-11-26","2026-02-23","6453.51","-2760.67","715.51","97701.27","2026-03-28","Void","Closed"
"ISA000000086","PS708874A","Amelia","Joseph","Wright","1952-12-13","Life Time ISA","Yes","8412.92","1892.69","2026-01-31","2026-03-16","2056.41","-832.79","306.50","67973.48","2026-04-04","Void","Transferred in full"
"ISA000000087","MK519932C","Mia","Marie","Adams","1962-10-31","Innovative Finance","No","749.13","9192.13","2025-11-23","2026-03-11","16594.56","2198.03","641.34","24630.02","2026-03-19","Closed","Cancelled"
"ISA000000088","WT492427C","Daniel","Alice","Bailey","1974-05-26","Stock and Shares","Yes","6935.53","4723.80","2025-11-03","2025-11-13","13258.06","-1475.21","724.85","58631.09","2026-03-27","Closed","All funds withdrawn"
"ISA000000089","CC705755A","Harry","Michael","Scott","1988-02-05","Innovative Finance","No","4781.87","2881.47","2025-06-16","2025-07-24","13711.80","-2164.05","645.77","9249.36","2026-04-05","Void","Void"
"ISA000000090","EX804734B","Amelia","Alexander","Hughes","1991-09-17","Life Time ISA","Yes","2980.14","2720.29","2025-07-10","2025-09-01","12377.82","400.15","119.80","99223.89","2026-01-29","Cancelled","All funds withdrawn"
"ISA000000091","CB517830C","Thomas","Michael","King","1965-05-08","Life Time ISA","Yes","10155.06","8547.64","2025-09-01","2025-11-08","7072.04","1861.45","-341.57","99508.56","2025-12-02","Void","Cancelled"
"ISA000000092","PA942499C","Freya","Joseph","Martin","1990-11-29","Life Time ISA","No","4421.49","16638.64","2025-09-23","2025-12-03","2769.18","2778.60","901.94","91129.93","2026-01-12","Void","All funds withdrawn"
"ISA000000093","ES712085D","Grace","Claire","Collins","1993-12-02","Innovative Finance","No","16546.94","8535.65","2026-02-06","2026-02-24","11810.56","-3379.28","-484.18","69606.09","2026-03-03","Cancelled","Void"
"ISA000000094","BL780798B","Lucas","Louise","Young","1940-04-29","Cash","Yes","17340.89","19252.29","2026-01-25","2026-01-25","11093.55","3436.39","-27.88","14169.57","2026-03-21","Cancelled","Cancelled"
"ISA000000095","RX492873A","George","William","Adams","1981-12-10","Innovative Finance","Yes","6571.40","18658.29","2025-04-22","2025-05-04","14005.48","3377.55","683.58","70627.72","2025-07-11","Closed","All funds withdrawn"
"ISA000000096","BS004779A","George","Thomas","Wright","1982-06-28","Life Time ISA","No","19367.26","8026.90","2026-01-27","2026-02-23","11123.10","1555.40","275.08","4530.78","2026-03-31","Void","Closed"
"ISA000000097","KH031698A","Arthur","Michael","Walker","1970-04-11","Stock and Shares","Yes","6642.34","9535.73","2025-10-20","2026-03-20","4941.03","3341.63","496.91","74359.95","2026-04-02","Cancelled","Transferred in full"
"ISA000000098","BZ648255B","Evie","Thomas","Foster","1944-04-18","Stock and Shares","No","15653.73","1125.25","2025-07-27","2026-03-17","9273.30","1169.29","726.79","24164.53","2026-03-29","Void","Void"
"ISA000000099","SL869544B","Edward","Joseph","Scott","1995-07-03","Stock and Shares","No","15982.17","13440.85","2025-06-27","2025-08-10","8710.13","634.72","97.45","94807.69","2025-11-29","Void","Transferred in full"
"ISA000000100","PH217003D","Finley","Jane","Phillips","1962-04-08","Stock and Shares","No","3710.22","16473.85","2025-06-22","2025-06-29","1567.25","3973.23","427.33","65641.28","2026-03-12","Cancelled","Void"
"ISA000000101","WK352731A","Evie","Olivia","Smith","1998-01-02","Cash","Yes","13715.29","12973.50","2025-04-18","2025-08-29","3080.72","3074.14","756.57","19555.23","2025-12-05","Closed","Closed"
"ISA000000102","BK794665C","Sophia","Patrick","Johnson","1956-08-15","Stock and Shares","No","17767.96","239.53","2025-11-02","2026-02-06","9463.16","1056.24","228.99","52699.19","2026-03-19","Cancelled","Cancelled"
"ISA000000103","EA298164D","Amelia","Elizabeth","Allen","1973-07-20","Life Time ISA","No","7105.83","16283.36","2025-09-20","2026-02-20","7496.28","2133.63","847.86","73417.39","2026-03-24","Void","All funds withdrawn"
"ISA000000104","EA502925B","Edward","Joseph","Thomas","1978-12-13","Cash","No","5151.55","15445.07","2025-09-14","2025-11-02","18537.14","1436.46","888.30","41373.04","2026-02-07","Cancelled","Cancelled"
"ISA000000105","KW846281D","Amelia","Elizabeth","Hall","1998-11-10","Stock and Shares","Yes","5280.52","12757.03","2026-01-17","2026-03-01","11896.56","-733.95","970.84","62196.25","2026-03-14","Closed","Transferred in full"
"ISA000000106","PY998375D","George","Samuel","Foster","2004-09-06","Stock and Shares","No","5203.54","9106.89","2025-08-08","2025-10-10","11637.05","-1850.76","487.73","81840.35","2025-11-17","Cancelled","Cancelled"
"ISA000000107","EE240826A","Hannah","Thomas","Bailey","1977-10-23","Innovative Finance","Yes","12966.99","12718.10","2025-04-14","2025-10-05","17785.21","614.35","157.83","307.65","2025-12-27","Cancelled","Cancelled"
"ISA000000108","EZ841716B","Edward","Marie","Phillips","1980-02-15","Stock and Shares","No","11953.95","17089.23","2026-01-03","2026-01-12","1221.74","-1805.21","434.37","15145.37","2026-03-02","Closed","Closed"
"ISA000000109","AZ665053C","Oscar","David","Edwards","1981-11-12","Cash","Yes","4865.71","2925.09","2025-09-06","2025-12-08","19010.20","3366.40","937.83","87148.98","2026-01-15","Cancelled","Void"
"ISA000000110","LA646057C","Freya","Michael","Williams","1970-03-26","Life Time ISA","Yes","19.07","1647.14","2025-06-13","2025-12-22","3398.03","1418.01","777.94","57106.81","2026-03-26","Cancelled","Transferred in full"
"ISA000000111","CM110996A","Lucas","Claire","Robinson","1992-08-31","Innovative Finance","Yes","7136.57","11156.43","2025-07-05","2025-11-11","14511.72","1888.08","907.85","17723.42","2026-01-06","Closed","Void"
"ISA000000112","LJ912274D","Henry","Samuel","Brown","1968-07-25","Stock and Shares","Yes","5238.76","14608.81","2025-05-30","2026-01-30","4048.45","2190.67","286.58","97360.75","2026-03-30","Void","Void"
"ISA000000113","BK247221C","Amelia","Claire","Bailey","1948-08-20","Life Time ISA","Yes","15666.16","16047.51","2025-06-07","2026-04-02","19788.00","3879.53","506.82","89825.79","2026-04-03","Cancelled","Transferred in full"
"ISA000000114","LE255664B","Logan","Elizabeth","Jones","1997-06-04","Stock and Shares","Yes","2902.26","10644.94","2025-07-03","2025-08-30","15595.52","-3809.74","632.25","89174.15","2026-02-01","Void","All funds withdrawn"
"ISA000000115","LP434066C","Lucas","David","Scott","1960-02-07","Stock and Shares","No","11487.55","17973.10","2026-01-10","2026-04-02","10143.67","2513.45","687.09","56802.98","2026-04-02","Void","Closed"
"ISA000000116","AH705157B","Sophia","Ann","Adams","1954-06-05","Stock and Shares","No","15712.99","8104.68","2026-01-17","2026-03-13","1989.91","1450.72","791.41","47296.98","2026-03-17","Closed","Closed"
"ISA000000117","JP303306B","Emily","Samuel","Jackson","1949-01-27","Stock and Shares","Yes","14042.07","8420.10","2025-06-18","2025-09-24","15234.52","78.12","391.91","85372.38","2025-09-27","Closed","Closed"
"ISA000000118","PJ989915B","Amelia","Jane","Smith","1970-07-25","Stock and Shares","No","4605.00","18930.65","2025-11-15","2026-03-18","2149.70","687.12","420.51","8188.37","2026-03-30","Cancelled","Transferred in full"
"ISA000000119","HA901378C","Lily","Marie","Hall","1946-01-29","Life Time ISA","Yes","15717.12","5987.73","2025-11-07","2026-03-11","15474.40","1762.94","-273.36","2010.44","2026-03-26","Closed","Cancelled"
"ISA000000120","RB529809B","Henry","Olivia","Bennett","1940-10-03","Life Time ISA","No","7791.71","16085.68","2025-05-31","2025-06-29","8955.57","383.88","630.16","68187.18","2026-04-02","Closed","Cancelled"
"ISA000000121","HE603522B","Noah","William","Foster","2004-12-03","Cash","No","15494.42","12236.57","2025-07-22","2025-11-30","2206.05","627.20","-681.83","56908.51","2025-12-25","Cancelled","All funds withdrawn"
"ISA000000122","RT694919D","Ruby","Samuel","Murphy","1989-09-19","Life Time ISA","No","10238.59","3905.12","2025-10-23","2026-02-03","3561.30","733.33","131.01","23989.58","2026-02-28","Void","Void"
"ISA000000123","ST104791B","Finley","Patrick","White","1956-06-20","Life Time ISA","Yes","8426.37","17936.61","2025-09-10","2025-12-20","9967.07","3689.68","434.81","78114.05","2026-01-05","Cancelled","Transferred in full"
"ISA000000124","PR447958B","Noah","Alexander","Collins","1990-03-21","Stock and Shares","Yes","19212.81","9707.85","2025-10-09","2026-01-06","8686.98","3729.35","342.79","76695.57","2026-01-18","Closed","Transferred in full"
"ISA000000125","HP677487D","Logan","Olivia","Parker","2007-06-28","Innovative Finance","No","735.61","13165.52","2025-06-14","2025-07-17","9409.09","2023.40","171.74","64893.51","2025-09-27","Void","Cancelled"
"ISA000000126","LK143858B","Hannah","Benjamin","Thomas","2002-03-09","Life Time ISA","No","2474.88","8714.78","2025-07-07","2025-07-14","8072.90","3499.90","-323.08","56295.72","2025-09-29","Closed","Closed"
"ISA000000127","CR782317B","Mia","Olivia","Wright","1952-07-05","Stock and Shares","Yes","19104.59","6020.39","2026-01-22","2026-03-26","7454.70","1188.24","606.57","65912.13","2026-03-30","Closed","Closed"
"ISA000000128","SX491864C","Jack","Thomas","Carter","1984-01-23","Life Time ISA","No","2842.74","2391.44","2025-09-15","2025-11-21","2664.49","591.43","762.03","45618.69","2025-12-01","Closed","All funds withdrawn"
"ISA000000129","WY745714D","Arthur","Marie","Morris","1983-03-22","Stock and Shares","No","4289.49","14743.33","2026-01-26","2026-04-02","18862.87","3306.09","566.85","87625.30","2026-04-02","Cancelled","Closed"
